TEMP K,LIQUID RHOMX kmol/cum,LIQUID CPMX kJ/kmol-K,LIQUID MUMX cP,LIQUID HMX kJ/kmol,LIQUID TBUB K,LIQUID KMX kW/m-K,Composition
346.15,51.739,73.3686,0.840829,-285733.0,366.226,0.000679752,0.15
347.15,51.7097,73.3799,0.827348,-285660.0,366.226,0.000680509,0.15
348.15,51.6801,73.3915,0.814196,-285586.0,366.226,0.000681255,0.15
349.15,51.6503,73.4034,0.801362,-285513.0,366.226,0.000681989,0.15
350.15,51.6203,73.4156,0.788836,-285439.0,366.226,0.000682711,0.15
351.15,51.59,73.4281,0.77661,-285366.0,366.226,0.000683422,0.15
352.15,51.5594,73.441,0.764675,-285293.0,366.226,0.000684121,0.15
353.15,51.5286,73.4542,0.753022,-285219.0,366.226,0.000684809,0.15
354.15,51.4976,73.4677,0.741643,-285146.0,366.226,0.000685485,0.15
355.15,51.4663,73.4816,0.730529,-285072.0,366.226,0.00068615,0.15
356.15,51.4348,73.4958,0.719673,-284999.0,366.226,0.000686803,0.15
357.15,51.403,73.5104,0.709068,-284925.0,366.226,0.000687445,0.15
358.15,51.371,73.5253,0.698707,-284852.0,366.226,0.000688076,0.15
359.15,51.3388,73.5406,0.688582,-284778.0,366.226,0.000688695,0.15
